variable,2.5 %,97.5 %
.sig01,0,0.9280316543844914
(Intercept),-1.9905943361669671,-1.07449072015246
VarietyNZ,-1.2462177707411886,-0.3001517763883503
VarietyUK,-2.1775962327444063,-1.2612140179830402
VarietyUS,-0.6599682106551139,0.13969128917467621
Speaker.sexM,-0.636813379861834,-0.02270601505893696
SemanticsC,-0.04903220399716287,1.233752038985891
SemanticsT,0.8984181533895805,1.6065677383226644
Recipient.typeP,-4.06044313263458,-3.196551818013429
Recipient.animacyO,1.2838467830977955,2.2763307086537345
Theme.typeO,4.018708488810189,4.942028952959864
Theme.animacyO,-0.7707501744276353,0.783730399386238
