Length,Freq,Mean_RT,Word
8,131,819.19,marveled
10,82,977.63,persuaders
7,0,908.22,midmost
6,592,766.3,crutch
12,2,1125.42,resuspension
12,9,948.33,efflorescent
3,14013,641.67,row
11,15,816.94,expansively
11,48,931.13,joblessness
5,290,654.12,jumpy
6,3264,583.81,enjoys
6,3523,667.18,screws
11,46,1054.77,euphemistic
4,1733,737.33,owed
11,192,931.04,intricately
8,78,748.1,feathery
10,640,849.67,magistrate
10,6,914.5,drunkard's
11,7718,620.79,conclusions
10,39,910.72,menstruate
11,1412,978.81,unpublished
8,256,871.68,inequity
9,75,948.11,speakeasy
11,0,942.86,abstractors
5,4519,636.56,poker
6,2089,595.31,pushes
4,716,692.45,goof
7,23998,751.29,failure
12,11,1314.33,dessertspoon
9,2146,787.81,informing
6,269,676.72,moneys
6,702,762.75,preset
9,6742,755.57,synthesis
7,331,792.45,bandage
6,1274,652.24,chunky
8,408,759.32,succinct
8,272,819.93,jewelled
8,8,997.33,gaieties
8,393,817.45,maturing
7,419,728.34,stinger
8,600,752.41,bottling
10,67,832.55,mechanic's
7,4687,713.94,spelled
11,21,768.41,straightway
8,1380,816.67,campuses
10,3749,748.47,diagnostic
8,183,1013.69,teletype
4,46405,564.18,race
8,472,769.26,sanitary
8,33,886.24,buffeted
10,3348,849,subsidiary
10,52,798.36,sandalwood
6,4796,938.2,nether
5,226,911.75,dowry
9,138,768.07,Lucifer's
9,44,724.09,overcoats
13,0,915.96,incombustible
9,57,837.38,boatloads
9,0,841.18,staminate
11,185,1089,denominated
9,2,913.53,introject
4,1614,677.91,comb
4,75075,594.15,land
10,2760,685.53,discourage
7,279,741.31,gallows
10,11468,716.9,recruiting
14,3601,904.47,organizational
6,110,750.25,prefab
9,127,860.29,cavalcade
15,4,1216.81,acquisitiveness
8,1898,633.09,forwards
9,3,788.94,lazybones
5,8301,721.96,acorn
7,2713,761.07,parsons
9,39,633.71,riverbank
5,1591,733.74,kinky
10,1538,782.07,contingent
10,11,980.25,roadworthy
7,0,812.39,outspan
14,19,923.74,receptionist's
8,148,883.5,shrunken
10,1759,669.24,metabolism
10,12,907.39,wingspread
3,2850,726,hum
10,54,814.52,soothsayer
7,86,763.55,tatters
8,10161,663.79,repeated
7,377,872.55,lenient
7,1394,648,fertile
5,10605,681.13,spare
6,757,641.06,club's
6,775,775.59,minced
5,14860,602.09,drain
7,31679,576.58,justice
10,181,792.93,numerology
6,158,876.56,powwow
8,429,710.63,backdoor
11,93,875.27,maladjusted
6,2434,627.11,Elaine
11,162,1458.75,diacritical
