Participant#,F2,Surfer_or_nonSurfer
1,1712.97663110727,Non-surfer
1,1759.38018494375,Non-surfer
1,1722.5938588217,Non-surfer
1,1642.27758569367,Non-surfer
1,1677.24623473845,Non-surfer
2,1736.21662340406,Non-surfer
2,1696.15662452357,Non-surfer
2,1718.20305345769,Non-surfer
2,1606.73839715359,Non-surfer
2,1708.00336264549,Non-surfer
2,1681.99746488128,Non-surfer
2,1760.19548217018,Non-surfer
2,1754.72602854077,Non-surfer
2,1764.26482173973,Non-surfer
2,1752.13398026157,Non-surfer
2,1690.75401431041,Non-surfer
2,1706.12133457202,Non-surfer
2,1728.05177247908,Non-surfer
2,1700.68611842297,Non-surfer
2,1732.31467220752,Non-surfer
2,1772.92847411853,Non-surfer
3,1772.01417339484,Non-surfer
3,1705.69184401751,Non-surfer
3,1717.64382737126,Non-surfer
3,1708.1512511598,Non-surfer
3,1714.02703515606,Non-surfer
3,1659.32626241529,Non-surfer
3,1820.44782605311,Non-surfer
4,1686.68367778511,Non-surfer
4,1697.98441624887,Non-surfer
4,1681.41064764001,Non-surfer
4,1707.71568128813,Non-surfer
4,1695.74141638846,Non-surfer
4,1663.82156307016,Non-surfer
4,1623.14904598637,Non-surfer
5,1707.31035766676,Non-surfer
5,1746.07433651838,Non-surfer
5,1545.40008861518,Non-surfer
5,1720.92171487064,Non-surfer
5,1644.58335682577,Non-surfer
5,1727.79457180569,Non-surfer
5,1678.77020268491,Non-surfer
5,1658.56047842516,Non-surfer
5,1878.87168389284,Non-surfer
5,1651.84653815513,Non-surfer
5,1657.01083065895,Non-surfer
5,1693.19969140062,Non-surfer
5,1718.16774193517,Non-surfer
5,1653.99747929984,Non-surfer
5,1675.26439173672,Non-surfer
5,1636.3662547388,Non-surfer
6,1810.69297579993,Non-surfer
6,1643.87999459671,Non-surfer
6,1730.3203403032,Non-surfer
6,1717.22765204216,Non-surfer
6,1677.46087314805,Non-surfer
6,1715.84186655308,Non-surfer
6,1574.98274613274,Non-surfer
6,1658.95451006734,Non-surfer
6,1709.02616731147,Non-surfer
7,1662.539984373,Non-surfer
7,1731.52311809127,Non-surfer
7,1672.96526937054,Non-surfer
7,1681.62030034155,Non-surfer
7,1699.00284384728,Non-surfer
7,1737.23133178479,Non-surfer
7,1687.46117577066,Non-surfer
7,1705.15190373196,Non-surfer
7,1611.76140474174,Non-surfer
8,1783.98719773368,Non-surfer
8,1743.76116594298,Non-surfer
8,1713.2362343831,Non-surfer
8,1700.22657311355,Non-surfer
8,1676.11643302691,Non-surfer
8,1611.24296675523,Non-surfer
8,1681.65456610178,Non-surfer
8,1715.20805708589,Non-surfer
8,1696.33296515053,Non-surfer
8,1767.48043656973,Non-surfer
8,1676.53846550401,Non-surfer
8,1689.80414800343,Non-surfer
9,1731.88054735842,Non-surfer
9,1797.88972816069,Non-surfer
9,1742.64768486581,Non-surfer
9,1630.42807379413,Non-surfer
9,1812.88638275421,Non-surfer
9,1786.89365144824,Non-surfer
9,1815.22117654451,Non-surfer
9,1714.46557981627,Non-surfer
9,1726.32670192621,Non-surfer
10,1660.02669236892,Non-surfer
10,1686.64094780627,Non-surfer
10,1633.67156186552,Non-surfer
10,1637.82816438907,Non-surfer
10,1701.54239223423,Non-surfer
10,1690.97805370942,Non-surfer
10,1649.46925844701,Non-surfer
10,1685.75806179824,Non-surfer
10,1690.72816912464,Non-surfer
10,1711.27789952741,Non-surfer
11,1876.41976863416,surfer
11,1767.8417679651,surfer
11,1849.29750525657,surfer
11,1776.18569724643,surfer
11,1810.73020864473,surfer
11,1792.63339220575,surfer
11,1869.77258902258,surfer
11,1851.54047595848,surfer
11,1829.30280375108,surfer
11,1831.51792530984,surfer
12,1804.89681452853,surfer
12,1780.27516307924,surfer
12,1831.35223993688,surfer
12,1784.68953768646,surfer
12,1923.14572040246,surfer
12,1790.98226113371,surfer
12,1831.45810376922,surfer
12,1798.80154075594,surfer
12,1791.17019981399,surfer
12,1714.76185461273,surfer
12,1813.2625647879,surfer
13,1785.70220722231,surfer
13,1796.70473070956,surfer
13,1865.2077279903,surfer
13,1813.92244448247,surfer
13,1756.78365713588,surfer
13,1694.7187791716,surfer
13,1676.09457758835,surfer
13,1854.3831986075,surfer
13,1841.68155781506,surfer
14,1796.05491571281,surfer
14,1779.70544144851,surfer
14,1895.6883137622399,surfer
14,1825.09201793419,surfer
14,1856.2621511514,surfer
14,1767.07791058373,surfer
14,1812.11498889037,surfer
14,1844.00816506927,surfer
14,1825.77029336908,surfer
14,1797.08442379104,surfer
14,1750.09912420554,surfer
15,1834.70452465829,surfer
15,1898.35931678771,surfer
15,1853.40524045769,surfer
15,1831.18640432714,surfer
15,1934.88775694554,surfer
15,1864.21485081801,surfer
15,1801.70567843681,surfer
15,1854.87280153179,surfer
15,1854.93450579468,surfer
15,1797.79639131558,surfer
15,1799.66066337777,surfer
16,1736.26038539264,surfer
16,1786.33240079247,surfer
16,1758.73588372612,surfer
16,1771.59170316227,surfer
16,1831.85118407009,surfer
16,1790.60680244667,surfer
16,1758.0277999561,surfer
16,1745.58327575929,surfer
16,1845.13974087881,surfer
17,1743.11271492542,surfer
17,1804.93547285166,surfer
17,1841.19125769533,surfer
17,1774.8830272936,surfer
17,1895.68881235299,surfer
17,1828.90298758133,surfer
17,1805.03687201728,surfer
17,1840.29544727906,surfer
17,1872.81727204126,surfer
17,1834.00198186098,surfer
17,1772.31123825499,surfer
18,1824.80969386248,surfer
18,1788.69504878515,surfer
18,1778.72106154408,surfer
18,1740.10950125926,surfer
18,1856.97311261144,surfer
18,1785.91307968278,surfer
18,1818.61817866296,surfer
18,1796.57653552427,surfer
18,1714.15771423871,surfer
18,1794.91063027721,surfer
18,1840.77956981804,surfer
19,1841.40655509547,surfer
19,1778.05525249393,surfer
19,1839.98758434992,surfer
19,1771.75969185686,surfer
19,1819.33310614382,surfer
19,1839.30230998037,surfer
19,1900.600687519,surfer
19,1780.5365840516,surfer
19,1788.63751916091,surfer
19,1873.42097607347,surfer
